,Power,ghi,predicted
2021-12-22 13:07:00,600.0,104.42469758446606,349.1938999549469
2021-12-22 13:12:00,600.0,104.42469758446606,344.750418296709
2021-12-22 13:17:00,600.0,104.42469758446606,320.81145329623973
2021-12-22 13:23:00,600.0,104.42469758446606,311.46619320000957
2021-12-22 13:28:00,600.0,104.42469758446606,304.07456901992055
2021-12-22 13:33:00,600.0,104.42469758446606,298.49455284618557
2021-12-22 13:38:00,600.0,104.42469758446606,283.02902066664024
2021-12-22 13:43:00,600.0,104.42469758446606,270.71263836848743
2021-12-22 13:48:00,600.0,104.42469758446606,1.9891933247035922
2021-12-22 13:53:00,600.0,104.42469758446606,63.80131659911763
2021-12-22 13:59:00,600.0,104.42469758446606,63.72755338227432
