,Power,Predict,ghi
2021-06-07 10:00:00,8223.75,8977.293869688012,9675.904801993009
2021-06-07 11:00:00,8321.379310344828,8052.469538630237,9719.497658131493
2021-06-07 12:00:00,8180.0,7579.648356121992,9260.898164717986
